ProductID,Product Name,Description,List Price,Sale Price,Brand,Category,Dept,Sub-Category,SKU
0,In Style Eyes Cateye Two Tone Reading Glasses,"Stunning Looking Cat Eye Two Tone Reading Glasses give You an Upscale Look. These Designer Readers will get plenty of compliments. Top Quality Frames with Spring Metal Hinges make them Sturdy yet they have a very Comfortable Fit - You'll Forget you have them on. You'll find them Hard to Live Without. Includes a High Quality Hard Case and Cleaning Cloth, each with an In Style Eyes Logo.|In Style Eyes Cateye Two Tone Reading Glasses",19.99,19.99,In Style Eyes,Home Health Care,Health,Daily Living Aids,9923
1,"Upper Crust Caribbean Coconut Panko Bread Crumbs, 10 Pound -- 1 each.","| Size information : 1-10 POUND Upper Crust Caribbean Coconut Panko Bread Crumbs, 10 Pound -- 1 each. Upper Crust Caribbean Coconut Panko is a blend of Premium Coconut Flakes, Authentic Japanese Panko, Sugar, and a touch of Rum flavor. Extra Large, Kosher ",39.96,39.96,Upper Crust,Baking,Food,Baking Mixes,7066
2,Fish Tank Ornament Plastic Decoration Plant Suction Cup 4 Pcs," Material: Plastic; Plant Size: about 20 cm long Net Weight: 25g; Package Content: 4 x Plastic Plants Product Name: Plastic Plant Water Type: Freshwater / Saltwater |Description: Different shapes plastic plants are included here. Provide excellent hiding and swimming places for your fishes. Offer the natural environment feeling for your aquarium or fish tank. Aquarium?plastic water plants are use in the fish tank and have no effect on the quality of the water. If you do not have much time to take care of the fish tank, plastic water plants are good choice for you . They are absolute safe for the fishes(Oscar, guppy,cichlid,betta) and the best of all.",199.99,100,Unique Bargains,Fish,Pets,Aquarium Plants,2646
3,"3-Pack Black Peel-Off Mask for Deep Cleansing, Purifying Skin, Removing Blackheads, Blemishes ( 3 Bonus Hair Removing Pen)","ELIMINATES BLACKHEADS, ACNE, hair softener – Activated charcoal peels away blackheads, acne and hair softener quickly and efficiently while cleaning deep down Absorbing pores of blackheads and stubborn dirt, shrink pores, regulate hair softener secretion Provide the vitality the skin needs, and smoothes the skin's texture Come with a free Hair removing pen|3-Pack Black Peel-Off Mask for Deep Cleansing, Purifying Skin, Removing Blackheads, Blemishes ( 3 Bonus Hair Removing Pen)",19.54,19.54,LaCasa,Skin Care,Beauty,Face Masks,4408
4,Replacement for LIONEL TOY TRAIN 671-75 replacement light bulb lamp, Volts: 12.80 Watts: 50 Amps: 3.906 Bulb Shape: T2.75 Manufacturer: CHOSEN SUPPLIES |Replacement for LIONEL TOY TRAIN 671-75 replacement light bulb lamp,32.51,32.51,CHOSEN SUPPLIES,Light Bulbs,Household Essentials,All Light Bulbs,2074
5,American Foxhound Christmas Sticky Note Holder BB8433SN,"TAKE note! The perfect gift for anyone! This Sticky Note Holder is something special. Artwork is added to the top of the Postit note holder and a small pad of 3 inch x 3 inch sticky notes are included at the bottom. The holder is refillable by removing the last piece of paper of a new pad of postits and sticking it to the board. Perfect gift for everyone in your office at work, all of your facebook friends, your dog groomer, hairdresser or even anyone who might have trouble remembering all the import things in life. Make a grocery list or leave a note for your husband or wife. The bottom board is rigid and you can even add a business card size magnet (sold seperately) to the back of the board to magnetize the holder.|TAKE note! The perfect gift for anyone! This Sticky Note Holder is something special.",10.59,10.59,Caroline's Treasures,Notebooks & Pads,Office,Sticky Notes,3067
6,Darby Home Co Wall Mounted Bulletin Board,Features: -Made in the USA. -Drywall screws and anchors provided. -Vertical and horizontal cleat hardware installed. -Handcrafted. Product Type: -Corkboard/Bulletin Board. Surface Material: -Cork. Installation Type: -Wall Mounted. Frame Finish: -Walnut. Dimensions: Size 1' 10&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -22&quot;. Size 1' 10&quot; H x 1' 4&quot; W - Overall Width - Side to Side: -16&quot;. Size 1' 10&quot; H x 1' 4&quot; W - Overall Product Weight: -15 lbs. Size 2' 4&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -28&quot;. Size 2' 4&quot; H x 1' 4&quot; W - Overall Product Weight: -17 lbs. Size 2' 10&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -34&quot;. Size 2' 10&quot; H x 1' 4&quot; W - Overall Product Weight: -20 lbs. Size 3' 4&quot; H x 1' 4&quot; W - Overall Product Weight: -22 lbs. Size 3' 10&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -46&quot;. Size 7' 4&quot; H x 1' 4&quot; W - Overall Depth - Front to Back: -1&quot;.|DBYH1478 Features Made in the USA Drywall screws and anchors provided Vertical and horizontal cleat hardware installed Handcrafted Product Type: Corkboard/Bulletin Board Surface Material: Cork Installation Type: Wall Mounted Frame Finish: Walnut Dimensions Size 1' 10&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 22&quot; Overall Width - Side to Side: 16&quot; Overall Product Weight: 15 lbs Size 2' 4&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 28&quot; Overall Product Weight: 17 lbs Size 2' 10&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 34&quot; Overall Product Weight: 20 lbs Size 3' 4&quot; H x 1' 4&quot; W Overall Product Weight: 22 lbs Size 3' 10&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 46&quot; Size 7' 4&quot; H x 1' 4&quot; W Overall Depth - Front to Back: 1&quot; ,783,409.99,Darby Home Co,Boards & Easels,Office,Bulletin Boards,5924
7,Replacement for PORSCHE 928 YEAR 1993 FRONT SIDE MARKER LIGHT 10 PACK replacement light bulb lamp, Volts: 12 Watts: 5 Amps: 0.417 Bulb Shape: G6 Manufacturer: CHOSEN SUPPLIES |Replacement for PORSCHE 928 YEAR 1993 FRONT SIDE MARKER LIGHT 10 PACK replacement light bulb lamp,51.9,51.9,CHOSEN SUPPLIES,Light Bulbs,Household Essentials,All Light Bulbs,9819
8,Replacement for ORBITEC H14579WFLI12V20WGU53 replacement light bulb lamp, Volts: 12 Watts: 20 Amps: 1.667 Bulb Shape: MR16 Color: 2925 Manufacturer: CHOSEN SUPPLIES |Replacement for ORBITEC H14579WFLI12V20WGU53 replacement light bulb lamp,32.5,32.5,CHOSEN SUPPLIES,Light Bulbs,Household Essentials,All Light Bulbs,6851
9,Hazelnut SWP Decaf Singlicious Servings,"Hazelnut flavored coffee has the slightly sweet aroma of roasted hazelnuts that punctuate this smooth, distinctive coffee. Our best selling flavored coffee is now available in single servings for owners of Keurig&reg; machines. 12-Singlicious&reg; Servings come in each box. We care about giving you the best product so all of our Decaf Coffee is decaffeinated using the Swiss Water Process. This Process is the only 100% chemical free decaffeination process that delivers coffee that is 99.9% caffeine-free while protecting the unique origin characteristics and flavor. In addition to being certified Kosher Pareve*, all of our flavored decafs are Sugar Free, Lactose Free, Gluten Free and Alcohol Free. *with the exception of Cr&egrave;me Brulee and Sinful Sundae which are Kosher Dairy|Hazelnut SWP Decaf Singlicious&reg; Servings",10.95,10.95,Coffee Beanery,Coffee,Food,Single-Serve Cups & Pods,1468
