Uniq Id,Crawl Timestamp,Product Url,Product Name,Description,List Price,Sale Price,Brand,Item Number,Gtin,Package Size,Category,Postal Code,Available
459b05f3cb7f1cba0a36fdc042ff0056,2019-03-22 17:10:04 +0000,https://www.walmart.com/ip/In-Style-Eyes-Cateye-Two-Tone-Reading-Glasses/955702070,In Style Eyes Cateye Two Tone Reading Glasses,"Stunning Looking Cat Eye Two Tone Reading Glasses give You an Upscale Look. These Designer Readers will get plenty of compliments. Top Quality Frames with Spring Metal Hinges make them Sturdy yet they have a very Comfortable Fit - You'll Forget you have them on. You'll find them Hard to Live Without. Includes a High Quality Hard Case and Cleaning Cloth, each with an In Style Eyes Logo.|In Style Eyes Cateye Two Tone Reading Glasses",19.99,19.99,In Style Eyes,,96647824338,,Health|Home Health Care|Daily Living Aids,,TRUE
9e51356d763e53dc622c92e3a86f9ef8,2019-03-22 17:46:46 +0000,https://www.walmart.com/ip/Upper-Crust-Caribbean-Coconut-Panko-Bread-Crumbs-10-Pound-1-each/168012270,"Upper Crust Caribbean Coconut Panko Bread Crumbs, 10 Pound -- 1 each.","| Size information : 1-10 POUND Upper Crust Caribbean Coconut Panko Bread Crumbs, 10 Pound -- 1 each. Upper Crust Caribbean Coconut Panko is a blend of Premium Coconut Flakes, Authentic Japanese Panko, Sugar, and a touch of Rum flavor. Extra Large, Kosher ",39.96,39.96,Upper Crust,,8.90749E+11,,Food|Baking|Baking Mixes,,FALSE
6fe8e4a8b0983d9c7cb73196a0a1f619,2019-03-22 17:35:44 +0000,https://www.walmart.com/ip/Fish-Tank-Ornament-Plastic-Decoration-Plant-Suction-Cup-4-Pcs/110005056,Fish Tank Ornament Plastic Decoration Plant Suction Cup 4 Pcs," Material: Plastic; Plant Size: about 20 cm long Net Weight: 25g; Package Content: 4 x Plastic Plants Product Name: Plastic Plant Water Type: Freshwater / Saltwater |Description: Different shapes plastic plants are included here. Provide excellent hiding and swimming places for your fishes. Offer the natural environment feeling for your aquarium or fish tank. Aquarium?plastic water plants are use in the fish tank and have no effect on the quality of the water. If you do not have much time to take care of the fish tank, plastic water plants are good choice for you . They are absolute safe for the fishes(Oscar, guppy,cichlid,betta) and the best of all.",199.99,100,Unique Bargains,,6.02452E+11,,Pets|Fish|Aquarium Plants,,FALSE
60a82e436e09d9e72d66457d0c0e1758,2019-03-22 18:11:13 +0000,https://www.walmart.com/ip/3-Pack-Black-Peel-Off-Mask-for-Deep-Cleansing-Purifying-Skin-Removing-Blackheads-Blemishes-3-Bonus-Hair-Removing-Pen/118931802,"3-Pack Black Peel-Off Mask for Deep Cleansing, Purifying Skin, Removing Blackheads, Blemishes ( 3 Bonus Hair Removing Pen)","ELIMINATES BLACKHEADS, ACNE, hair softener – Activated charcoal peels away blackheads, acne and hair softener quickly and efficiently while cleaning deep down Absorbing pores of blackheads and stubborn dirt, shrink pores, regulate hair softener secretion Provide the vitality the skin needs, and smoothes the skin's texture Come with a free Hair removing pen|3-Pack Black Peel-Off Mask for Deep Cleansing, Purifying Skin, Removing Blackheads, Blemishes ( 3 Bonus Hair Removing Pen)",19.54,19.54,LaCasa,,6.96405E+11,,Beauty|Skin Care|Face Masks,,FALSE
7ca0a58d3e8538acac5084765e93626f,2019-03-22 17:27:26 +0000,https://www.walmart.com/ip/Replacement-for-LIONEL-TOY-TRAIN-671-75-replacement-light-bulb-lamp/866257102,Replacement for LIONEL TOY TRAIN 671-75 replacement light bulb lamp, Volts: 12.80 Watts: 50 Amps: 3.906 Bulb Shape: T2.75 Manufacturer: CHOSEN SUPPLIES |Replacement for LIONEL TOY TRAIN 671-75 replacement light bulb lamp,32.51,32.51,CHOSEN SUPPLIES,,6.17456E+11,,Household Essentials|Light Bulbs|All Light Bulbs,,TRUE
2c4a607ab9dae7ede8a499c6c7347ae3,2019-03-22 18:29:28 +0000,https://www.walmart.com/ip/American-Foxhound-Christmas-Sticky-Note-Holder-BB8433SN/765574170,American Foxhound Christmas Sticky Note Holder BB8433SN,"TAKE note! The perfect gift for anyone! This Sticky Note Holder is something special. Artwork is added to the top of the Postit note holder and a small pad of 3 inch x 3 inch sticky notes are included at the bottom. The holder is refillable by removing the last piece of paper of a new pad of postits and sticking it to the board. Perfect gift for everyone in your office at work, all of your facebook friends, your dog groomer, hairdresser or even anyone who might have trouble remembering all the import things in life. Make a grocery list or leave a note for your husband or wife. The bottom board is rigid and you can even add a business card size magnet (sold seperately) to the back of the board to magnetize the holder.|TAKE note! The perfect gift for anyone! This Sticky Note Holder is something special.",10.59,10.59,Caroline's Treasures,,6.38509E+11,,Office|Notebooks & Pads|Sticky Notes,,TRUE
8c060a902652da148a07e6e426969158,2019-03-22 18:03:22 +0000,https://www.walmart.com/ip/Darby-Home-Co-Wall-Mounted-Bulletin-Board/122456158,Darby Home Co Wall Mounted Bulletin Board,Features: -Made in the USA. -Drywall screws and anchors provided. -Vertical and horizontal cleat hardware installed. -Handcrafted. Product Type: -Corkboard/Bulletin Board. Surface Material: -Cork. Installation Type: -Wall Mounted. Frame Finish: -Walnut. Dimensions: Size 1' 10&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -22&quot;. Size 1' 10&quot; H x 1' 4&quot; W - Overall Width - Side to Side: -16&quot;. Size 1' 10&quot; H x 1' 4&quot; W - Overall Product Weight: -15 lbs. Size 2' 4&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -28&quot;. Size 2' 4&quot; H x 1' 4&quot; W - Overall Product Weight: -17 lbs. Size 2' 10&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -34&quot;. Size 2' 10&quot; H x 1' 4&quot; W - Overall Product Weight: -20 lbs. Size 3' 4&quot; H x 1' 4&quot; W - Overall Product Weight: -22 lbs. Size 3' 10&quot; H x 1' 4&quot; W - Overall Height - Top to Bottom: -46&quot;. Size 7' 4&quot; H x 1' 4&quot; W - Overall Depth - Front to Back: -1&quot;.|DBYH1478 Features Made in the USA Drywall screws and anchors provided Vertical and horizontal cleat hardware installed Handcrafted Product Type: Corkboard/Bulletin Board Surface Material: Cork Installation Type: Wall Mounted Frame Finish: Walnut Dimensions Size 1' 10&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 22&quot; Overall Width - Side to Side: 16&quot; Overall Product Weight: 15 lbs Size 2' 4&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 28&quot; Overall Product Weight: 17 lbs Size 2' 10&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 34&quot; Overall Product Weight: 20 lbs Size 3' 4&quot; H x 1' 4&quot; W Overall Product Weight: 22 lbs Size 3' 10&quot; H x 1' 4&quot; W Overall Height - Top to Bottom: 46&quot; Size 7' 4&quot; H x 1' 4&quot; W Overall Depth - Front to Back: 1&quot; ,783,409.99,Darby Home Co,,1.90961E+11,"size-6'4""hx1'4""w",Office|Boards & Easels|Bulletin Boards,,TRUE
9121d4fcbc4323c095a41776d232b72a,2019-03-22 18:28:02 +0000,https://www.walmart.com/ip/Replacement-for-PORSCHE-928-YEAR-1993-FRONT-SIDE-MARKER-LIGHT-10-PACK-replacement-light-bulb-lamp/815917903,Replacement for PORSCHE 928 YEAR 1993 FRONT SIDE MARKER LIGHT 10 PACK replacement light bulb lamp, Volts: 12 Watts: 5 Amps: 0.417 Bulb Shape: G6 Manufacturer: CHOSEN SUPPLIES |Replacement for PORSCHE 928 YEAR 1993 FRONT SIDE MARKER LIGHT 10 PACK replacement light bulb lamp,51.9,51.9,CHOSEN SUPPLIES,,7.96294E+11,,Household Essentials|Light Bulbs|All Light Bulbs,,TRUE
2d075bd6ead8a7f5b76d8b017e768c10,2019-03-22 17:08:37 +0000,https://www.walmart.com/ip/Replacement-for-ORBITEC-H14579WFLI12V20WGU53-replacement-light-bulb-lamp/700043680,Replacement for ORBITEC H14579WFLI12V20WGU53 replacement light bulb lamp, Volts: 12 Watts: 20 Amps: 1.667 Bulb Shape: MR16 Color: 2925 Manufacturer: CHOSEN SUPPLIES |Replacement for ORBITEC H14579WFLI12V20WGU53 replacement light bulb lamp,32.5,32.5,CHOSEN SUPPLIES,,7.08627E+11,,Household Essentials|Light Bulbs|All Light Bulbs,,TRUE
5d4989347ec26654cd97222169aab59e,2019-03-22 18:11:19 +0000,https://www.walmart.com/ip/Hazelnut-SWP-Decaf-Singlicious-Servings/728220444,Hazelnut SWP Decaf Singlicious Servings,"Hazelnut flavored coffee has the slightly sweet aroma of roasted hazelnuts that punctuate this smooth, distinctive coffee. Our best selling flavored coffee is now available in single servings for owners of Keurig&reg; machines. 12-Singlicious&reg; Servings come in each box. We care about giving you the best product so all of our Decaf Coffee is decaffeinated using the Swiss Water Process. This Process is the only 100% chemical free decaffeination process that delivers coffee that is 99.9% caffeine-free while protecting the unique origin characteristics and flavor. In addition to being certified Kosher Pareve*, all of our flavored decafs are Sugar Free, Lactose Free, Gluten Free and Alcohol Free. *with the exception of Cr&egrave;me Brulee and Sinful Sundae which are Kosher Dairy|Hazelnut SWP Decaf Singlicious&reg; Servings",10.95,10.95,Coffee Beanery,,7.02443E+11,,Food|Coffee|Single-Serve Cups & Pods,,TRUE
